Comparison,Mean_Difference,CI_Lower,CI_Upper,Raw_p_value,FDR_corrected_p,Significant_FDR
Good_SNR_IR1 vs Bad_SNR_X Position,-0.106313394859786,-0.178326045564063,-0.0343007441555085,0.0101159412547386,0.0229893846678218,1
Good_SNR_IR1 vs Bad_SNR_Y Position,-0.106759425704012,-0.182962462850227,-0.0305563885577972,0.0128917490555683,0.0271016945597831,1
Good_SNR_IR1 vs Bad_SNR_Z Position,-0.0745938400494081,-0.149667729666457,0.000480049567640736,0.0511247882194092,0.0848944538845633,0
Good_SNR_IR1 vs Bad_SNR_Speed,-0.0554286270573431,-0.12683392361547,0.0159766695007842,0.10905459974259,0.156001871380656,0
Good_SNR_IR1 vs Bad_SNR_tSNE-X,-0.0535784887951613,-0.128603790432409,0.0214468128420867,0.135135342407713,0.186615472848746,0
Good_SNR_IR1 vs Bad_SNR_tSNE-Y,-0.0345816407153934,-0.106111132418393,0.0369478509876064,0.290541631935859,0.364892836958815,0
Good_SNR_IR1 vs Bad_SNR_IR1,-0.029315973973433,-0.119237637385754,0.0606056894388878,0.465981099375647,0.544498061175207,0
Good_SNR_IR1 vs Bad_SNR_IR2,0.0156305888312515,-0.0591313441130099,0.090392521775513,0.636176562488433,0.688331922889519,0
Good_SNR_IR1 vs Bad_SNR_WP1,0.0175312001218264,-0.0587481370806869,0.0938105373243397,0.603681681229941,0.668110212427655,0
Good_SNR_IR1 vs Bad_SNR_WP2,0.0162177190927587,-0.0602370805171525,0.09267251870267,0.631344980715118,0.687368767399736,0
Good_SNR_IR1 vs Bad_SNR_Shock,0.0439398152032609,-0.0268243342817224,0.114703964688244,0.185476696531575,0.246529442473218,0
Good_SNR_IR1 vs Bad_SNR_Sound,0.0439398152032609,-0.0268243342817224,0.114703964688244,0.185476696531575,0.246529442473218,0
Good_SNR_IR2 vs Good_SNR_WP1,-0.00165780829805703,-0.0370346706094755,0.0337190540133615,0.918905617852042,0.934358596421574,0
Good_SNR_IR2 vs Good_SNR_WP2,0.0217758857449648,-0.00724588062078733,0.0507976521107169,0.125505964467087,0.176371817907493,0
Good_SNR_IR2 vs Good_SNR_Shock,0.0381343654710168,0.0107386029787364,0.0655301279632972,0.0112214583797149,0.0246872084353728,1
Good_SNR_IR2 vs Good_SNR_Sound,0.0381343654710168,0.0107386029787364,0.0655301279632972,0.0112214583797149,0.0246872084353728,1
Good_SNR_IR2 vs Bad_SNR_Dominant Freq,-0.0457235039587164,-0.0919410370214179,0.000494029103985154,0.0518947288636046,0.0848944538845633,0
Good_SNR_IR2 vs Bad_SNR_X Position,-0.11211884459203,-0.156723734269282,-0.0675139549147777,0.00057367085720935,0.00225927164752818,1
Good_SNR_IR2 vs Bad_SNR_Y Position,-0.112564875436256,-0.163659661784484,-0.0614700890880287,0.00124012856704715,0.00416422118829518,1
Good_SNR_IR2 vs Bad_SNR_Z Position,-0.0803992897816522,-0.129794261427523,-0.0310043181357809,0.006301779758292,0.0157052167413683,1
Good_SNR_IR2 vs Bad_SNR_Speed,-0.0612340767895872,-0.104851627135953,-0.0176165264432219,0.0127709258580986,0.0271016945597831,1
Good_SNR_IR2 vs Bad_SNR_tSNE-X,-0.0593839385274054,-0.108705031453492,-0.0100628456013191,0.0247921717831863,0.046521781169626,1
Good_SNR_IR2 vs Bad_SNR_tSNE-Y,-0.0403870904476375,-0.0842076621572024,0.00343348126192738,0.0657038878241577,0.0993343138194611,0
Good_SNR_IR2 vs Bad_SNR_IR1,-0.0351214237056771,-0.10504766965455,0.0348048222431962,0.273697557122274,0.345096919849824,0
Good_SNR_IR2 vs Bad_SNR_IR2,0.00982513909900741,-0.0390943962547328,0.0587446744527477,0.649305581708307,0.697402291464478,0
